Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,samples\AspNetCoreMcpPerSessionTools\AspNetCoreMcpPerSessionTools.csproj,File,samples\AspNetCoreMcpPerSessionTools\AspNetCoreMcpPerSessionTools.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,samples\AspNetCoreMcpServer\AspNetCoreMcpServer.csproj,File,samples\AspNetCoreMcpServer\AspNetCoreMcpServer.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,samples\AspNetCoreMcpServer\AspNetCoreMcpServer.csproj,File,samples\AspNetCoreMcpServer\Tools\WeatherTools.cs,65,8,T:System.Text.Json.JsonDocument,,,,,using var forecastDocument = await JsonDocument.ParseAsync(forecastResponseStream);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,samples\AspNetCoreMcpServer\AspNetCoreMcpServer.csproj,File,samples\AspNetCoreMcpServer\Tools\WeatherTools.cs,61,8,T:System.Uri,,,,,"var forecastUrl = locationDocument?.RootElement.GetProperty(""properties"").GetProperty(""forecast"").GetString()              ?? throw new McpException($""No forecast URL provided by {client.BaseAddress}points/{latitude},{longitude}"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,samples\AspNetCoreMcpServer\AspNetCoreMcpServer.csproj,File,samples\AspNetCoreMcpServer\Tools\WeatherTools.cs,60,8,T:System.Text.Json.JsonDocument,,,,,using var locationDocument = await JsonDocument.ParseAsync(locationResponseStream);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,samples\AspNetCoreMcpServer\AspNetCoreMcpServer.csproj,File,samples\AspNetCoreMcpServer\Tools\WeatherTools.cs,26,8,T:System.Text.Json.JsonDocument,,,,,"using var jsonDocument = await JsonDocument.ParseAsync(responseStream)              ?? throw new McpException(""No JSON returned from alerts endpoint"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,samples\AspNetCoreMcpServer\AspNetCoreMcpServer.csproj,File,samples\AspNetCoreMcpServer\Program.cs,49,4,T:System.Uri,,,,,"client.BaseAddress = new Uri(""https://api.weather.gov"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,samples\AspNetCoreMcpServer\AspNetCoreMcpServer.csproj,File,samples\AspNetCoreMcpServer\Program.cs,49,4,M:System.Uri.#ctor(System.String),,,,,"client.BaseAddress = new Uri(""https://api.weather.gov"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,samples\AspNetCoreMcpServer\AspNetCoreMcpServer.csproj,File,samples\AspNetCoreMcpServer\Program.cs,49,4,T:System.Uri,,,,,"client.BaseAddress = new Uri(""https://api.weather.gov"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,samples\AspNetCoreMcpServer\AspNetCoreMcpServer.csproj,File,samples\AspNetCoreMcpServer\Program.cs,47,0,"M:Microsoft.Extensions.DependencyInjection.HttpClientFactoryServiceCollectionExtensions.AddHttpClient(Microsoft.Extensions.DependencyInjection.IServiceCollection,System.String,System.Action{System.Net.Http.HttpClient})",,,,,"builder.Services.AddHttpClient(""WeatherApi"", client =>  {      client.BaseAddress = new Uri(""https://api.weather.gov"");      client.DefaultRequestHeaders.UserAgent.Add(new ProductInfoHeaderValue(""weather-tool"", ""1.0""));  });"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,samples\AspNetCoreMcpServer\AspNetCoreMcpServer.csproj,File,samples\AspNetCoreMcpServer\Program.cs,8,0,M:Microsoft.Extensions.Configuration.ConfigurationBinder.Get``1(Microsoft.Extensions.Configuration.IConfiguration),,,,,"var allowedOrigins = builder.Configuration.GetSection(""Mcp:AllowedOrigins"").Get<string[]>() ?? [""http://localhost:5173""];"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,samples\ChatWithTools\ChatWithTools.csproj,File,samples\ChatWithTools\ChatWithTools.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,docs\concepts\elicitation\samples\server\Elicitation.csproj,File,docs\concepts\elicitation\samples\server\Elicitation.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,docs\concepts\elicitation\samples\server\Elicitation.csproj,File,docs\concepts\elicitation\samples\server\Program.cs,15,0,"M:Microsoft.Extensions.Logging.ConsoleLoggerExtensions.AddConsole(Microsoft.Extensions.Logging.ILoggingBuilder,System.Action{Microsoft.Extensions.Logging.Console.ConsoleLoggerOptions})",,,,,builder.Logging.AddConsole(options =>  {      options.LogToStandardErrorThreshold = LogLevel.Information;  });
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,docs\concepts\elicitation\samples\client\ElicitationClient.csproj,File,docs\concepts\elicitation\samples\client\ElicitationClient.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,docs\concepts\elicitation\samples\client\ElicitationClient.csproj,File,docs\concepts\elicitation\samples\client\Program.cs,6,0,T:System.Uri,,,,,"var clientTransport = new HttpClientTransport(new()  {      Endpoint = new Uri(endpoint),      TransportMode = HttpTransportMode.StreamableHttp,  });"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,docs\concepts\elicitation\samples\client\ElicitationClient.csproj,File,docs\concepts\elicitation\samples\client\Program.cs,6,0,M:System.Uri.#ctor(System.String),,,,,"var clientTransport = new HttpClientTransport(new()  {      Endpoint = new Uri(endpoint),      TransportMode = HttpTransportMode.StreamableHttp,  });"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,docs\concepts\elicitation\samples\client\ElicitationClient.csproj,File,docs\concepts\elicitation\samples\client\Program.cs,6,0,T:System.Uri,,,,,"var clientTransport = new HttpClientTransport(new()  {      Endpoint = new Uri(endpoint),      TransportMode = HttpTransportMode.StreamableHttp,  });"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,samples\EverythingServer\EverythingServer.csproj,File,samples\EverythingServer\EverythingServer.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,docs\concepts\httpcontext\samples\HttpContext.csproj,File,docs\concepts\httpcontext\samples\HttpContext.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,docs\concepts\httpcontext\samples\HttpContext.csproj,File,docs\concepts\httpcontext\samples\Program.cs,17,0,"M:Microsoft.Extensions.Logging.ConsoleLoggerExtensions.AddConsole(Microsoft.Extensions.Logging.ILoggingBuilder,System.Action{Microsoft.Extensions.Logging.Console.ConsoleLoggerOptions})",,,,,builder.Logging.AddConsole(options =>  {      options.LogToStandardErrorThreshold = LogLevel.Information;  });
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,samples\InMemoryTransport\InMemoryTransport.csproj,File,samples\InMemoryTransport\InMemoryTransport.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,docs\concepts\logging\samples\server\Logging.csproj,File,docs\concepts\logging\samples\server\Logging.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,docs\concepts\logging\samples\client\LoggingClient.csproj,File,docs\concepts\logging\samples\client\LoggingClient.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
